2218-2207 CustomWeightedEdge{sourceUserId=2218, targeUserId=2207, type=AA, peso=97.0}
2131-2143 CustomWeightedEdge{sourceUserId=2131, targeUserId=2143, type=AA, peso=22.0}
2131-2144 CustomWeightedEdge{sourceUserId=2131, targeUserId=2144, type=AA, peso=57.0}
2168-2160 CustomWeightedEdge{sourceUserId=2168, targeUserId=2160, type=AA, peso=233.0}
2150-1981 CustomWeightedEdge{sourceUserId=2150, targeUserId=1981, type=AP, peso=539.0}
2229-1951 CustomWeightedEdge{sourceUserId=2229, targeUserId=1951, type=AP, peso=236.0}
1982-2202 CustomWeightedEdge{sourceUserId=1982, targeUserId=2202, type=PA, peso=381.0}
2263-1981 CustomWeightedEdge{sourceUserId=2263, targeUserId=1981, type=AP, peso=107.0}
2156-2151 CustomWeightedEdge{sourceUserId=2156, targeUserId=2151, type=AA, peso=59.0}
2181-2165 CustomWeightedEdge{sourceUserId=2181, targeUserId=2165, type=AA, peso=71.0}
1982-2201 CustomWeightedEdge{sourceUserId=1982, targeUserId=2201, type=PA, peso=174.0}
2263-1980 CustomWeightedEdge{sourceUserId=2263, targeUserId=1980, type=AP, peso=107.0}
2181-2163 CustomWeightedEdge{sourceUserId=2181, targeUserId=2163, type=AA, peso=85.0}
2242-1951 CustomWeightedEdge{sourceUserId=2242, targeUserId=1951, type=AP, peso=1107.0}
1982-2203 CustomWeightedEdge{sourceUserId=1982, targeUserId=2203, type=PA, peso=91.0}
2263-1985 CustomWeightedEdge{sourceUserId=2263, targeUserId=1985, type=AP, peso=432.0}
2181-2169 CustomWeightedEdge{sourceUserId=2181, targeUserId=2169, type=AA, peso=88.0}
2248-2254 CustomWeightedEdge{sourceUserId=2248, targeUserId=2254, type=AA, peso=129.0}
1982-2200 CustomWeightedEdge{sourceUserId=1982, targeUserId=2200, type=PA, peso=13.0}
2156-2158 CustomWeightedEdge{sourceUserId=2156, targeUserId=2158, type=AA, peso=97.0}
2183-1940 CustomWeightedEdge{sourceUserId=2183, targeUserId=1940, type=AP, peso=172.0}
2161-2191 CustomWeightedEdge{sourceUserId=2161, targeUserId=2191, type=AA, peso=73.0}
2148-2190 CustomWeightedEdge{sourceUserId=2148, targeUserId=2190, type=AA, peso=98.0}
2217-1940 CustomWeightedEdge{sourceUserId=2217, targeUserId=1940, type=AP, peso=251.0}
2209-1982 CustomWeightedEdge{sourceUserId=2209, targeUserId=1982, type=AP, peso=48.0}
2186-1940 CustomWeightedEdge{sourceUserId=2186, targeUserId=1940, type=AP, peso=38.0}
2189-2146 CustomWeightedEdge{sourceUserId=2189, targeUserId=2146, type=AA, peso=65.0}
2173-2130 CustomWeightedEdge{sourceUserId=2173, targeUserId=2130, type=AA, peso=61.0}
1981-1981 CustomWeightedEdge{sourceUserId=1981, targeUserId=1981, type=PP, peso=111.0}
2202-2201 CustomWeightedEdge{sourceUserId=2202, targeUserId=2201, type=AA, peso=61.0}
2152-2180 CustomWeightedEdge{sourceUserId=2152, targeUserId=2180, type=AA, peso=121.0}
