Codigo,Forum,Chat,Resource,Assignment,URL,Page,Book,Choice,Glossary,Quiz,Wiki
BIO_1,4,0,6,3,0,1,0,1,0,2,0
BIO_2,6,0,6,5,2,1,0,0,1,4,0
BIO_3,6,0,13,0,3,16,0,0,0,6,0
BIO_4,5,0,13,2,3,17,0,0,0,7,0
BIO_5,3,0,6,0,0,0,0,0,0,6,0
BIO_6,8,0,3,4,0,0,0,0,0,2,0
BIO_7,3,0,13,4,0,9,0,0,0,8,0
BIO_8,5,0,22,4,3,2,0,0,0,7,0
BIO_9,4,0,9,4,0,0,0,0,0,6,0
BIO_10,3,1,5,2,0,0,0,0,0,4,0
BIO_11,3,0,17,0,9,0,0,0,0,6,0
BIO_12,4,0,14,0,5,0,0,0,0,6,0
